# 0.01	0.99	0.05	0.95	0.10	0.90	0.20	0.80
6.634896712	0.000157088	3.841459149	0.00393214	2.705543971	0.015790774	1.642375062	0.064184755
9.210340372	0.020100672	5.991464547	0.102586589	4.605170186	0.210721031	3.218875825	0.446287103
11.34486668	0.114831802	7.814727764	0.351846318	6.251388457	0.584374375	4.641627502	1.005174016
13.27670414	0.297109481	9.487729037	0.710723023	7.77944034	1.063623219	5.988616694	1.648776626
15.08627247	0.554298077	11.07049775	1.145476228	9.236356938	1.610307989	7.289276183	2.342534315
16.81189383	0.872090332	12.59158724	1.635382895	10.64464068	2.20413068	8.558059721	3.070088414
18.47530691	1.239042306	14.06714043	2.167349919	12.01703656	2.833106932	9.803249854	3.822321961
20.09023503	1.646497377	15.50731306	2.732636798	13.36156614	3.489539134	11.03009143	4.593573645
21.66599433	2.087900737	16.91897762	3.325112864	14.68365662	4.168159042	12.24214549	5.380053335
23.20925116	2.558212167	18.30703805	3.940299145	15.98717917	4.865182068	13.44195758	6.17907932
24.72497031	3.05348413	19.67513757	4.574813108	17.27500852	5.57778484	14.63142049	6.988673545
26.21696731	3.570568978	21.02606982	5.2260295	18.54934779	6.303796082	15.81198622	7.807327768
27.68824961	4.106915492	22.3620325	5.891864368	19.81192931	7.041504637	16.98479702	8.633860877
29.14123774	4.660425069	23.68479131	6.570631457	21.06414421	7.789533743	18.15077056	9.467328089
30.57791417	5.2293489	24.99579013	7.260943955	22.30712958	8.546756297	19.31065711	10.30695923
31.99992691	5.812212505	26.29622761	7.961645632	23.54182892	9.312236471	20.46507929	11.15211657
33.4086636	6.407759789	27.58711164	8.671760325	24.76903535	10.08518638	21.61456054	12.00226593
34.80530572	7.014910924	28.86929943	9.390455126	25.9894231	10.86493621	22.75954582	12.85695319
36.19086911	7.632729691	30.14352721	10.11701315	27.20357106	11.65091021	23.90041722	13.71578988
37.56623475	8.260398412	31.41043286	10.85081155	28.41198058	12.44260928	25.03750563	14.57843952
38.93217269	8.897197968	32.67057337	11.59130527	29.61508943	13.2395981	26.17109991	15.44460854
40.28936044	9.542492384	33.92443852	12.33801468	30.81328234	14.04149341	27.30145403	16.31404003
41.63839812	10.19571563	35.17246163	13.09051436	32.00689967	14.84795589	28.42879253	17.18650624
42.97982015	10.8563615	36.4150285	13.84842509	33.19624426	15.6586842	29.55331525	18.0618045
44.31410491	11.52397541	37.65248413	14.61140775	34.38158698	16.47340823	30.67520091	18.93975474
45.64168268	12.19814699	38.88513865	15.37915675	35.56317121	17.29188535	31.7946101	19.82019439
46.96294214	12.8785045	40.11327205	16.1513961	36.74121675	18.11389612	32.91168775	20.70297662
48.27823579	13.56470991	41.33713813	16.92787515	37.91592255	18.93924261	34.0265652	21.58796957
49.5878845	14.25645463	42.55696777	17.70836633	39.08746978	19.76774391	35.1393618	22.47505242
50.89218135	14.95345661	43.77297178	18.49266121	40.25602376	20.59923476	36.25018677	23.36411522
52.19139488	15.65545652	44.98534322	19.28056888	41.42173586	21.43356472	37.35913986	24.25505672
53.4857719	16.36221572	46.19425944	20.0719136	42.58474512	22.27059479	38.46631278	25.14778555
54.77553984	17.07351373	47.39988381	20.86653418	43.74517961	23.11019718	39.57178996	26.04221622
56.06090884	17.78914701	48.60236738	21.66428098	44.90315759	23.95225346	40.67564938	26.93826965
57.34207343	18.50892635	49.80184958	22.46501558	46.05878853	24.79665505	41.77796322	27.83587413
58.61921449	19.232676	50.99846018	23.26860917	47.21217401	25.64330025	42.87879847	28.73496185
59.89250003	19.96023227	52.19231975	24.07494277	48.3634085	26.49209476	43.97821737	29.63547018
61.16208675	20.69144215	53.38354065	24.88390467	49.51257981	27.34295027	45.07627797	30.53734011
62.428121	21.42616318	54.5722278	25.69539078	50.65977047	28.19578549	46.1730347	31.44051828
63.69073973	22.16426141	55.75847932	26.50930369	51.80505719	29.05052334	47.26853774	32.34495328
64.95007131	22.90561131	56.9423872	27.32555169	52.94851197	29.90709191	48.36283478	33.2505974
66.20623626	23.65009495	58.12403775	28.14404978	54.09020241	30.76542371	49.45597036	34.15740519
67.45934789	24.39760108	59.3035121	28.96471704	55.23019204	31.62545472	50.54798635	35.06533579
68.70951293	25.14802552	60.48088667	29.78747756	56.36854066	32.48712621	51.63892217	35.97434906
69.95683202	25.90126937	61.65623348	30.61225936	57.50530467	33.35038143	52.72881496	36.88440769
71.2014002	26.65723935	62.82962054	31.43899554	58.64053728	34.2151672	53.81769981	37.79547647
72.44330732	27.4158472	64.00111212	32.26762187	59.77428882	35.08143274	54.90560987	38.70752123
73.68263846	28.17700932	65.17076907	33.09807786	60.90660689	35.94913143	55.99257651	39.62051203
74.91947424	28.94064612	66.33864905	33.93030616	62.03753663	36.81821779	57.07862945	40.53441833
76.15389117	29.70668289	67.50480652	34.76425193	63.16712082	37.68864904	58.16379654	41.44921183
77.38596193	30.47504783	68.66929388	35.59986425	64.29540012	38.56038459	59.2481052	42.36486481
78.61575562	31.2456729	69.83216031	36.43709362	65.42241317	39.43338524	60.33158059	43.28135324
79.84333801	32.01849329	70.99345279	37.27589328	66.54819705	40.30761533	61.41424693	44.19865214
81.06877179	32.79344723	72.15321612	38.11621865	67.6727862	41.18303937	62.49612729	45.11673836
82.2921167	33.57047544	73.31149298	38.95802724	68.79621429	42.05962401	63.57724367	46.03558983
83.51342979	34.34952229	74.4683241	39.80127797	69.91851319	42.93733742	64.65761705	46.95518456
84.73276555	35.13053371	75.6237484	40.64593304	71.03971332	43.81614853	65.73726747	47.87550416
