Starting cal age BP	calendar age	 14C age BP	 total 14C uncertainty	 cal yr span	 cal year uncertainty	 wiggle match uncertainty	 varve count uncertainty	Lab ID	 dataset number	 observation number
YR BP	YR BP	YR BP	YR	YR	YR					
9524	9525.5	8474	40.5	4	0	0	0	Hd-8151	5	265
9521	9525.5	8504	31.9	10	0	0	0	QL-11900	1	1993
9515	9517.5	8439	40.5	6	0	0	0	Hd-7758	5	276
9511	9520.5	8497	31.7	20	0	0	0	QUB93	2	690
9509	9513.5	8476.5	29.2	10	0	0	0	QL-11899	1	2016
9504	9505.5	8509	40.5	4	0	0	0	Hd-8171	5	264
9499	9503.5	8502.4	28.3	10	0	0	0	QL-11898	1	2017
9491	9500.5	8509	31.7	20	0	0	0	QUB93	2	689
9489	9493.5	8500.6	31.3	10	0	0	0	QL-11897	1	2018
9486	9488.5	8455	40.5	6	0	0	0	Hd-7759	5	275
9479	9483.5	8459.9	28.6	10	0	0	0	QL-11896	1	2019
9471	9480.5	8441	29.9	20	0	0	0	QUB93	2	688
9469	9473.5	8454.8	27.3	10	0	0	0	QL-11895	1	2020
9469	9470.5	8458	40.5	4	0	0	0	Hd-8273	5	263
9459	9463.5	8397.5	21.6	10	0	0	0	QL-11894	1	2021
9451	9460.5	8365	29.9	20	0	0	0	QUB93	2	687
9449	9453.5	8412.4	28.1	10	0	0	0	QL-11893	1	2022
9432	9436	8391.6	29.2	9	0	0	0	QL-11768	1	2038
9431	9440.5	8422	29.9	20	0	0	0	QUB93	2	686
9422	9426	8328.1	28.3	9	0	0	0	QL-11767	1	2037
9419	9420.5	8371	40.5	4	0	0	0	Hd-8304	5	260
9412	9416	8323.5	29.3	9	0	0	0	QL-11766	1	2036
9411	9420.5	8364	29.9	20	0	0	0	QUB93	2	685
9405	9408	8279	40.5	7	0	0	0	Hd-7760	5	274
9402	9406	8444	33.6	9	0	0	0	QL-11765	1	2034
9402	9406	8381.7	28.5	9	0	0	0	QL-11765	1	2035
9392	9396	8230.3	36.6	9	0	0	0	QL-11764	1	2033
9391	9400.5	8291	29.9	20	0	0	0	QUB93	2	684
9382	9386	8311	33	9	0	0	0	QL-11763	1	2032
9372	9376	8366.3	35.6	9	0	0	0	QL-11762	1	2031
9371	9380.5	8299	35.2	20	0	0	0	QUB93	2	683
9369	9370.5	8315	40.5	4	0	0	0	Hd-8086	5	273
9366	9368.5	8300	40.5	6	0	0	0	Hd-7757	5	277
9362	9366	8257.9	30.7	9	0	0	0	QL-11761	1	2030
9354	9355.5	8382	40.5	4	0	0	0	Hd-8306	5	259
9352	9356	8356	44.5	9	0	0	0	QL-11760	1	2029
9351	9360.5	8291	31.7	20	0	0	0	QUB93	2	682
9342	9346	8289.1	30.7	9	0	0	0	QL-11759	1	2028
9333	9337.5	8380	40.5	10	0	0	0	Hd-8117	5	271
9332	9336	8360.2	34.4	9	0	0	0	QL-11758	1	2026
9332	9336	8415.5	38.8	9	0	0	0	QL-11758	1	2027
9330	9339.5	8316	35.2	20	0	0	0	QUB93	2	681
9322	9326	8315.3	29.1	9	0	0	0	QL-11757	1	2025
9310	9319.5	8327	35.2	20	0	0	0	QUB93	2	680
9301	9305.5	8324.3	29	10	0	0	0	QL-11892	1	1992
9291	9295.5	8288.6	28.9	10	0	0	0	QL-11891	1	1991
9290	9299.5	8296	31.7	20	0	0	0	QUB93	2	679
9281	9285.5	8290.9	40.9	10	0	0	0	QL-11890	1	1990
9271	9275.5	8272.1	31.9	10	0	0	0	QL-11889	1	1989
9270	9279.5	8253	29.9	20	0	0	0	QUB93	2	678
9250	9259.5	8251	31.7	20	0	0	0	QUB93	2	705
9230	9239.5	8205	31.7	20	0	0	0	QUB93	2	706
9212	9216	8296	40.5	9	0	0	0	Hd-8689	5	251
9211	9220.5	8173	33.4	20	0	0	0	QUB93	2	677
9207	9208.5	8251	40.5	4	0	0	0	Hd-8717	5	250
9197	9198.5	8198	40.5	4	0	0	0	Hd-8718	5	249
9191	9200.5	8219	33.4	20	0	0	0	QUB93	2	676
9187	9188.5	8239	40.5	4	0	0	0	Hd-8719	5	248
9177	9178.5	8232	40.5	4	0	0	0	Hd-8720	5	247
9171	9180.5	8155	33.4	20	0	0	0	QUB93	2	675
9167	9168.5	8277	40.5	4	0	0	0	Hd-8750	5	246
9156	9158	8271	40.5	5	0	0	0	Hd-8751	5	245
9148	9148.5	8275.3	52.9	2	0	0	0	QL-10000	1	1036
9143	9144	8199	55.4	3	0	0	0	Hd5028	5	361
9141	9145.5	8235.5	20.8	10	0	0	0	QL-11887	1	1987
9141	9145.5	8243.6	31.9	10	0	0	0	QL-11887	1	1988
9137	9138.5	8200.2	31.5	4	0	0	0	QL-10001	1	1027
9131	9135.5	8215.7	28.1	10	0	0	0	QL-11886	1	1985
9131	9135.5	8247.4	28.2	10	0	0	0	QL-11886	1	1986
9128	9131	8271	37.8	7	0	0	0	Hd8092	5	321
9123	9125	8168.5	32.2	5	0	0	0	QL-10002	1	1000
9121	9125.5	8154.8	27.3	10	0	0	0	QL-11885	1	1984
9114	9115.5	8212	44.6	4	0	0	0	Hd5162	5	354
9113	9115	8168.7	32.2	5	0	0	0	QL-10003	1	1001
9111	9115.5	8152.4	27.6	10	0	0	0	QL-11884	1	1983
9111	9120.5	8146	33.4	20	0	0	0	QUB93	2	674
9108	9110	8211	47.3	5	0	0	0	Hd5263	5	329
9103	9103.5	8198	47.3	2	0	0	0	Hd5204	5	394
9101	9105.5	8109	28.4	10	0	0	0	QL-11883	1	1982
9093	9095	8208	31.3	5	0	0	0	QL-10005	1	1002
9091	9095.5	8175.6	28.3	10	0	0	0	QL-11882	1	1981
9091	9100.5	8228	26.4	20	0	0	0	QUB93	2	673
9082	9084.5	8138.3	30.3	6	0	0	0	QL-10006	1	992
9081	9085.5	8129.1	30.9	10	0	0	0	QL-11881	1	1980
9071	9075.5	8150.1	38.5	10	0	0	0	QL-11880	1	1979
9071	9080.5	8173	26.4	20	0	0	0	QUB93	2	672
9068	9070	8141	45.9	5	0	0	0	Hd5577	5	332
9065	9066	8166	47.3	3	0	0	0	Hd5529	5	362
9061	9065.5	8103.9	27	10	0	0	0	QL-11879	1	1978
9058	9060	8195.9	31.4	5	0	0	0	QL-10007	1	1003
9051	9055.5	8105.4	27.4	10	0	0	0	QL-11878	1	1977
9051	9060.5	8173	26.4	20	0	0	0	QUB93	2	671
9043	9044.5	8249	52.7	4	0	0	0	Hd5401	5	353
9041	9045.5	8162	37	10	0	0	0	QL-11877	1	1976
9033	9035	8147.9	29.7	5	0	0	0	QL-10008	1	1004
9033	9035	8263	37.8	5	0	0	0	Hd8101	5	328
9031	9035.5	8187.2	29.3	10	0	0	0	QL-11876	1	1975
9031	9040.5	8169	21.1	20	0	0	0	QUB93	2	670
9025	9025.5	8161	39.2	2	0	0	0	Hd5733	5	396
9022	9024	8163	37.8	5	0	0	0	Hd6494	5	330
9021	9025.5	8092.7	27.6	10	0	0	0	QL-11875	1	1973
9021	9025.5	8114.9	31.1	10	0	0	0	QL-11875	1	1974
9021	9022	8158	83.7	3	0	0	0	Hd6478	5	363
9012	9014	8152	37.8	5	0	0	0	Hd6908	5	331
9011	9015.5	8112.5	22.2	10	0	0	0	QL-11874	1	1972
9011	9020.5	8017	35.2	20	0	0	0	UB1898	2	669
9010	9011	8157	37.8	3	0	0	0	Hd6521	5	364
9009	9009.5	8081	54	2	0	0	0	Hd5047	5	399
9008	9010	8112.9	31.1	5	0	0	0	QL-10009	1	1005
9005	9006	8000	37.8	3	0	0	0	Hd6489	5	365
9001	9005.5	7996.2	29	10	0	0	0	QL-11873	1	1971
9001	9001.5	8150	37.8	2	0	0	0	Hd6983	5	397
8999	8999.5	8166	43.2	2	0	0	0	Hd6407	5	395
8998	9000	8041.2	30.9	5	0	0	0	QL-10010	1	1006
8997	8997.5	8083	37.8	2	0	0	0	Hd6499	5	398
8993	8995	8019	43.2	5	0	0	0	Hd5576	5	334
8991	8995.5	7987.9	29.8	10	0	0	0	QL-11872	1	1970
8991	9000.5	8016	35.2	20	0	0	0	UB1897	2	668
8981	8985.5	8007.1	30.6	10	0	0	0	QL-11871	1	1969
8978	8980	8047.6	31.3	5	0	0	0	QL-10011	1	1007
8971	8975.5	7968.7	30.7	10	0	0	0	QL-11870	1	1967
8971	8975.5	7992.7	32.2	10	0	0	0	QL-11870	1	1968
8971	8980.5	7914	35.2	20	0	0	0	UB1896	2	667
8971	8972	7913	45.9	3	0	0	0	Hd5476	5	368
8963	8965	7871.7	32.1	5	0	0	0	QL-10012	1	1008
8961	8965.5	8004.6	27.1	10	0	0	0	QL-11869	1	1966
8958	8962.5	8025.4	31.7	10	0	0	0	QL-10013	1	981
8958	8962.5	7916.4	31	10	0	0	0	QL-10013	1	982
8958	8962.5	8019.7	29	10	0	0	0	QL-10013	1	983
8953	8954	7991	37.8	3	0	0	0	Hd5523	5	366
8951	8955.5	7954.5	26.3	10	0	0	0	QL-11868	1	1964
8951	8955.5	7997	26	10	0	0	0	QL-11868	1	1965
8951	8960.5	7919	35.2	20	0	0	0	UB1895	2	666
8948	8950	7963.9	42	5	0	0	0	QL-10014	1	1009
8941	8945.5	7940.7	31.1	10	0	0	0	QL-11867	1	1963
8938	8940	8015	55.4	5	0	0	0	Hd5732	5	336
8933	8935	8013.2	35	5	0	0	0	QL-10015	1	1010
8931	8935.5	7954.6	28.2	10	0	0	0	QL-11866	1	1962
8931	8940.5	7945	35.2	20	0	0	0	UB1894	2	665
8921	8925.5	7925.4	35	10	0	0	0	QL-11865	1	1961
8913	8915	8019	43.2	5	0	0	0	Hd5731	5	335
8911	8915.5	7907.6	36.5	10	0	0	0	QL-11864	1	1959
8911	8915.5	8003.3	27.8	10	0	0	0	QL-11864	1	1960
8911	8920.5	7930	35.2	20	0	0	0	UB1893	2	664
8908	8912.5	7943.9	44	10	0	0	0	QL-10016	1	984
8908	8912.5	8057.9	45.1	10	0	0	0	QL-10016	1	985
8908	8910	7976	34	5	0	0	0	QL-10017	1	1011
8901	8905.5	7974.6	39.3	10	0	0	0	QL-11863	1	1957
8901	8905.5	7992.2	35	10	0	0	0	QL-11863	1	1958
8898	8900	8080	48.6	5	0	0	0	Hd5522	5	333
8892	8900.5	8005	35.2	18	0	0	0	UB1892	2	662
8892	8900.5	7996	35.2	18	0	0	0	UB1891	2	663
8891	8895.5	7929.7	27.5	10	0	0	0	QL-11862	1	1956
8886	8888.5	7963.9	31.5	6	0	0	0	QL-10018	1	993
8881	8885.5	7945.6	27.2	10	0	0	0	QL-11861	1	1955
8878	8882.5	7967.2	46.2	10	0	0	0	QL-10019	1	986
8873	8875	7995	37.8	5	0	0	0	Hd5533	5	337
8871	8875.5	8018.2	22	10	0	0	0	QL-11860	1	1953
8871	8875.5	8015.4	21.3	10	0	0	0	QL-11860	1	1954
8871	8880.5	7941	35.2	20	0	0	0	UB1890	2	661
8868	8870	7987.5	31.1	5	0	0	0	QL-10020	1	1012
8865	8865.5	8041	45.9	2	0	0	0	Hd5811	5	400
8861	8865.5	7935.5	35.2	10	0	0	0	QL-11859	1	1952
8851	8855.5	7936.7	28.7	10	0	0	0	QL-11858	1	1951
8851	8860.5	7941	35.2	20	0	0	0	UB1889	2	660
8848	8850	7992.7	31.1	5	0	0	0	QL-10021	1	1013
8843	8845	7972.8	64.5	5	0	0	0	QL-10022	1	1014
8841	8845.5	7953.6	28.1	10	0	0	0	QL-11857	1	1949
8841	8845.5	7942.3	35	10	0	0	0	QL-11857	1	1950
8841	8841.5	7966	37.8	2	0	0	0	Hd5439	5	403
8833	8833.5	7982	52.7	2	0	0	0	Hd5068	5	402
8832	8840.5	7904	33.4	18	0	0	0	UB1887	2	658
8832	8840.5	7912	33.4	18	0	0	0	UB1888	2	659
8831	8835.5	7956	28.5	10	0	0	0	QL-11856	1	1948
8823	8825	8010	26.5	5	0	0	0	QL-10023	1	1015
8821	8825.5	7961.8	34.3	10	0	0	0	QL-11855	1	1947
8818	8820	8052.4	31.8	5	0	0	0	QL-10024	1	1016
8815	8815.5	7923	47.3	2	0	0	0	Hd5503	5	406
8811	8815.5	8026.3	27.4	10	0	0	0	QL-11854	1	1946
8811	8820.5	7987	33.4	20	0	0	0	UB1886	2	657
8801	8805.5	7935.9	35.2	10	0	0	0	QL-11853	1	1945
8800	8801.5	8022.6	33.1	4	0	0	0	QL-10025	1	1028
8791	8795.5	8008.5	28.7	10	0	0	0	QL-11852	1	1944
8791	8800.5	7954	33.4	20	0	0	0	UB1885	2	656
8783	8783.5	7991	43.2	2	0	0	0	Hd5502	5	401
8781	8785.5	7938.2	34.8	10	0	0	0	QL-11851	1	1943
8778	8779.5	8027.8	33.7	4	0	0	0	QL-10026	1	1029
8771	8775.5	8007	39.1	10	0	0	0	QL-11850	1	1941
8771	8775.5	7916.3	28	10	0	0	0	QL-11850	1	1942
8771	8780.5	7958	33.4	20	0	0	0	UB1884	2	655
8769	8769.5	7925	56.7	2	0	0	0	Hd5755	5	405
8763	8765	7973.8	29.2	5	0	0	0	QL-10027	1	1017
8761	8765.5	7885.1	48.1	10	0	0	0	QL-11849	1	1939
8761	8765.5	7882.7	35.3	10	0	0	0	QL-11849	1	1940
8755	8756	7974	44.6	3	0	0	0	Hd5888	5	367
8752	8753	7939.1	33.1	3	0	0	0	QL-10028	1	1033
8751	8755.5	7922.2	28.7	10	0	0	0	QL-11848	1	1938
8751	8760.5	7927	33.4	20	0	0	0	UB1883	2	654
8747	8747.5	7945	37.8	2	0	0	0	Hd5885	5	404
8741	8745.5	7922.4	35.4	10	0	0	0	QL-11847	1	1937
8735	8736	7944.2	33.1	3	0	0	0	QL-10029	1	1034
8731	8735.5	7983.6	31.5	10	0	0	0	QL-11846	1	1935
8731	8735.5	7896.5	28.9	10	0	0	0	QL-11846	1	1936
8731	8740.5	7887	33.4	20	0	0	0	UB1882	2	653
8729	8730.5	8003	47.3	4	0	0	0	Hd5048	5	355
8721	8725.5	7925.4	29.8	10	0	0	0	QL-11845	1	1934
8714	8716	7944.8	32.2	5	0	0	0	QL-10030	1	1018
8713	8715	7867	43.2	5	0	0	0	Hd5810	5	342
8711	8715.5	7968.9	30.3	10	0	0	0	QL-11844	1	1932
8711	8715.5	7866.7	22	10	0	0	0	QL-11844	1	1933
8711	8720.5	7952	28.2	20	0	0	0	UB1881	2	652
8708	8710	7926.5	29.6	5	0	0	0	QL-10031	1	1019
8703	8705	7914	32	5	0	0	0	QL-10032	1	1020
8702	8704.5	7947.5	31.7	6	0	0	0	QL-10033	1	994
8701	8705.5	7899	35.4	10	0	0	0	QL-11843	1	1931
8698	8700	7963	41.9	5	0	0	0	Hd5027	5	338
8691	8695.5	8015.2	40.2	10	0	0	0	QL-11842	1	1928
8691	8695.5	7905.2	30.1	10	0	0	0	QL-11842	1	1929
8691	8695.5	7802.9	28.9	10	0	0	0	QL-11842	1	1930
8691	8700.5	7926	28.2	20	0	0	0	UB1880	2	651
8688	8690	7911	29.3	5	0	0	0	QL-10034	1	1021
8683	8685	7924	44.6	5	0	0	0	Hd5850	5	340
8681	8685.5	7915.1	31.3	10	0	0	0	QL-11841	1	1927
8671	8675.5	7875.9	27.4	10	0	0	0	QL-11840	1	1926
8671	8680.5	7894	28.2	20	0	0	0	UB1879	2	650
8668	8670	7931.6	31.5	5	0	0	0	QL-10035	1	1022
8664	8664	8001	44.6	1	0	0	0	Hd5402	5	441
8662	8664.5	7916.3	30.9	6	0	0	0	QL-10036	1	995
8661	8665.5	7925.6	33.1	10	0	0	0	QL-11839	1	1925
8651	8655.5	7910.3	30	10	0	0	0	QL-11838	1	1924
8651	8660.5	7906	28.2	20	0	0	0	UB1878	2	649
8649	8650	7934.3	29.7	3	0	0	0	QL-10037	1	1035
8643	8645	7940	43.2	5	0	0	0	Hd5744	5	339
8641	8645.5	7859.3	33.7	10	0	0	0	QL-11837	1	1923
8638	8642.5	7910	30.9	10	0	0	0	QL-10038	1	987
8631	8635.5	7853.6	30.1	10	0	0	0	QL-11836	1	1922
8631	8640.5	7893	28.2	20	0	0	0	UB1877	2	648
8622	8624.5	7814.7	31.8	6	0	0	0	QL-10039	1	996
8622	8624.5	7854.9	31.9	6	0	0	0	QL-10039	1	997
8621	8625.5	7848.5	28.1	10	0	0	0	QL-11835	1	1921
8618	8620	7873	48.6	5	0	0	0	Hd5116	5	341
8611	8615.5	7843.9	31.9	10	0	0	0	QL-11834	1	1920
8611	8620.5	7881	33.4	20	0	0	0	UB1876	2	647
8608	8610.5	7900.1	32	6	0	0	0	QL-10040	1	998
8601	8605.5	7860	32	10	0	0	0	QL-11833	1	1919
8599	8599.5	7882	78.3	2	0	0	0	Hd5742	5	407
8593	8595	7833.5	29.4	5	0	0	0	QL-10041	1	1023
8591	8595.5	7850.3	21	10	0	0	0	QL-11832	1	1917
8591	8595.5	7790.2	28	10	0	0	0	QL-11832	1	1918
8591	8600.5	7848	33.4	20	0	0	0	UB1875	2	646
8588	8590	7745	45.9	5	0	0	0	Hd5793	5	344
8581	8585.5	7754	27.5	10	0	0	0	QL-11831	1	1915
8581	8585.5	7774.3	31.4	10	0	0	0	QL-11831	1	1916
8573	8577.5	7826.1	27.7	10	0	0	0	QL-10042	1	988
8571	8575.5	7716.2	27.4	10	0	0	0	QL-11830	1	1913
8571	8575.5	7779.1	32.8	10	0	0	0	QL-11830	1	1914
8571	8580.5	7786	35.2	20	0	0	0	UB1874	2	645
8561	8565.5	7765.2	26.5	10	0	0	0	QL-11829	1	1911
8561	8565.5	7834.5	31.9	10	0	0	0	QL-11829	1	1912
8554	8554.5	7816	43.2	2	0	0	0	Hd5532	5	408
8551	8555.5	7763.4	27.8	10	0	0	0	QL-11828	1	1909
8551	8555.5	7770.7	25.4	10	0	0	0	QL-11828	1	1910
8551	8560.5	7802	33.4	20	0	0	0	UB1873	2	644
8547	8548.5	7778.1	31.3	4	0	0	0	QL-10043	1	1030
8546	8546.5	7807	43.2	2	0	0	0	Hd5092	5	410
8544	8544.5	7782	37.8	2	0	0	0	Hd5754	5	411
8541	8545.5	7743.4	27.5	10	0	0	0	QL-11827	1	1908
8531	8535.5	7686.1	21.3	10	0	0	0	QL-11826	1	1906
8531	8535.5	7664.5	28.9	10	0	0	0	QL-11826	1	1907
8531	8540.5	7784	33.4	20	0	0	0	UB1872	2	643
8523	8525.5	7796.1	30.7	6	0	0	0	QL-10044	1	999
8522	8522.5	7744	41.9	2	0	0	0	Hd5753	5	412
8521	8525.5	7703.9	28	10	0	0	0	QL-11825	1	1904
8521	8525.5	7740.5	30.3	10	0	0	0	QL-11825	1	1905
8511	8515.5	7680.8	30.1	10	0	0	0	QL-11824	1	1903
8511	8520.5	7748	31.7	20	0	0	0	UB1871	2	642
8501	8505.5	7711.3	29.3	10	0	0	0	QL-11823	1	1901
8501	8505.5	7687.6	28.1	10	0	0	0	QL-11823	1	1902
8500	8503.5	7690.6	28.9	8	0	0	0	QL-10045	1	989
8500	8503.5	7662.4	30.1	8	0	0	0	QL-10045	1	990
8491	8495.5	7687.6	29.2	10	0	0	0	QL-11822	1	1899
8491	8495.5	7686.3	29.8	10	0	0	0	QL-11822	1	1900
8491	8500.5	7799	31.7	20	0	0	0	UB1870	2	641
8483	8486.5	7765.5	31	8	0	0	0	QL-10046	1	991
8483	8485	7737	44.6	5	0	0	0	Hd5521	5	345
8481	8485.5	7736.1	27.4	10	0	0	0	QL-11821	1	1898
8471	8475.5	7714.5	27.6	10	0	0	0	QL-11820	1	1896
8471	8475.5	7659	29.5	10	0	0	0	QL-11820	1	1897
8471	8480.5	7730	31.7	20	0	0	0	UB1869	2	640
8461	8463	7714.5	31.3	5	0	0	0	QL-10047	1	1024
8461	8463	7790.9	30.7	5	0	0	0	QL-10047	1	1025
8461	8465.5	7706.6	27.4	10	0	0	0	QL-11819	1	1894
8461	8465.5	7679.1	27.6	10	0	0	0	QL-11819	1	1895
8454	8454.5	7811	43.2	2	0	0	0	Hd6321	5	409
8451	8455.5	7661.7	27.9	10	0	0	0	QL-11818	1	1893
8451	8460.5	7723	31.7	20	0	0	0	UB1868	2	639
8446	8447.5	7684.2	30.9	4	0	0	0	QL-10048	1	1031
8446	8447.5	7674.1	30.8	4	0	0	0	QL-10048	1	1032
8441	8445.5	7663.1	30.7	10	0	0	0	QL-11817	1	1892
8431	8435.5	7702.9	29.9	10	0	0	0	QL-11816	1	1891
8431	8440.5	7634	37	20	0	0	0	UB1867	2	638
8428	8430	7752	40.5	5	0	0	0	Hd5026	5	343
8423	8425	7619.8	23.8	5	0	0	0	QL-10049	1	1026
8421	8425.5	7689.3	23.7	10	0	0	0	QL-11815	1	1890
8418	8418	7671	37.8	1	0	0	0	Hd7495	5	443
8411	8415.5	7656.9	28.5	10	0	0	0	QL-11814	1	1888
8411	8415.5	7603.5	27	10	0	0	0	QL-11814	1	1889
8411	8420.5	7700	31.7	20	0	0	0	UB1866	2	637
8406	8406	7686	37.8	1	0	0	0	Hd7496	5	442
8402	8402.5	7569	37.8	2	0	0	0	Hd7740	5	415
8401	8405.5	7585.7	20.6	10	0	0	0	QL-11813	1	1887
8393	8393.5	7707	43.2	2	0	0	0	Hd6087	5	413
8392	8392.5	7612	54	2	0	0	0	Hd7647	5	414
8391	8395.5	7580.2	27.4	10	0	0	0	QL-11812	1	1885
8391	8395.5	7571.5	29.2	10	0	0	0	QL-11812	1	1886
8391	8400.5	7603	31.7	20	0	0	0	UB1865	2	636
8387	8387	7572	37.8	1	0	0	0	Hd7741	5	446
8381	8385.5	7563.6	28.9	10	0	0	0	QL-11811	1	1884
8378	8378	7632	37.8	1	0	0	0	Hd7513	5	444
8371	8375.5	7523.7	20.7	10	0	0	0	QL-11810	1	1882
8371	8375.5	7508.5	33	10	0	0	0	QL-11810	1	1883
8371	8380.5	7548	31.7	20	0	0	0	UB1864	2	635
8365	8365	7623	41.9	1	0	0	0	Hd6213	5	445
8365	8365	7537	62.1	1	0	0	0	Hd7717	5	447
8362	8362	7430	45.9	1	0	0	0	Hd7840	5	453
8361	8365.5	7511.8	26.7	10	0	0	0	QL-11809	1	1880
8361	8365.5	7488.2	26.9	10	0	0	0	QL-11809	1	1881
8357	8357.5	7470	37.8	2	0	0	0	Hd7692	5	421
8353	8357.5	7542	37.8	10	0	0	0	Hd7704	5	319
8352	8352.5	7542	37.8	2	0	0	0	Hd7751	5	418
8351	8355.5	7548.6	27.9	10	0	0	0	QL-11808	1	1878
8351	8355.5	7456.9	27.4	10	0	0	0	QL-11808	1	1879
8351	8360.5	7562	31.7	20	0	0	0	UB1863	2	634
8351	8351	7499	74.3	1	0	0	0	Hd6439	5	449
8347	8347.5	7563	37.8	2	0	0	0	Hd8308	5	416
8347	8347.5	7557	37.8	2	0	0	0	Hd7686	5	417
8343	8347.5	7454	37.8	10	0	0	0	Hd7703	5	320
8342	8342	7463	37.8	1	0	0	0	Hd7846	5	451
8341	8345.5	7489	33.8	10	0	0	0	QL-11807	1	1877
8338	8340	7467	37.8	5	0	0	0	Hd7708	5	346
8337	8337	7472	37.8	1	0	0	0	Hd7756	5	450
8337	8337	7452	37.8	1	0	0	0	Hd6212	5	452
8334	8335	7464	37.8	3	0	0	0	Hd7836	5	372
8332	8332	7517	37.8	1	0	0	0	Hd7687	5	448
8331	8340.5	7509	31.7	20	0	0	0	UB1862	2	633
8329	8330.5	7515	37.8	4	0	0	0	Hd7713	5	356
8328	8328.5	7460	37.8	2	0	0	0	Hd8324	5	422
8326	8326.5	7446	41.9	2	0	0	0	Hd7688	5	423
8324	8325	7461	37.8	3	0	0	0	Hd7735	5	373
8319	8321	7417	43.2	5	0	0	0	Hd6291	5	347
8318	8318.5	7480	37.8	2	0	0	0	Hd8325	5	420
8314	8315	7454	37.8	3	0	0	0	Hd7837	5	374
8312	8313.5	7406	37.8	4	0	0	0	Hd7644	5	357
8311	8320.5	7473	31.7	20	0	0	0	UB1861	2	632
8309	8310	7437	37.8	3	0	0	0	Hd7707	5	375
8299	8300	7423	37.8	3	0	0	0	Hd7849	5	376
8293	8293.5	7410	62.1	2	0	0	0	Hd7646	5	424
8292	8293	7470	43.2	3	0	0	0	Hd6292	5	371
8291	8295.5	7431.5	25.7	10	0	0	0	QL-11806	1	1875
8291	8295.5	7401.5	28.7	10	0	0	0	QL-11806	1	1876
8291	8300.5	7491	31.7	20	0	0	0	UB1860	2	631
8281	8285.5	7396.7	26.9	10	0	0	0	QL-11805	1	1874
8278	8280.5	7493	43.2	6	0	0	0	Hd6229	5	322
8271	8275.5	7385.7	26.9	10	0	0	0	QL-11804	1	1872
8271	8275.5	7398.7	32.7	10	0	0	0	QL-11804	1	1873
8271	8280.5	7446	31.7	20	0	0	0	UB1859	2	630
8268	8270	7402	37.8	5	0	0	0	Hd7645	5	348
8261	8265.5	7387.6	26.6	10	0	0	0	QL-11803	1	1870
8261	8265.5	7386.7	37	10	0	0	0	QL-11803	1	1871
8257	8258	7485	37.8	3	0	0	0	Hd6227	5	369
8251	8255.5	7444	26.5	10	0	0	0	QL-11802	1	1868
8251	8255.5	7440.1	28.1	10	0	0	0	QL-11802	1	1869
8251	8260.5	7498	31.7	20	0	0	0	UB1858	2	629
8241	8245.5	7405	27.5	10	0	0	0	QL-11801	1	1866
8241	8245.5	7421.7	33.6	10	0	0	0	QL-11801	1	1867
8237	8237.5	7537	37.8	2	0	0	0	Hd6216	5	419
8231	8235.5	7391.9	29.2	10	0	0	0	QL-11800	1	1865
8231	8240.5	7470	29.9	20	0	0	0	UB1857	2	628
8221	8225.5	7474.9	37.1	10	0	0	0	QL-11799	1	1864
8215	8216	7472	37.8	3	0	0	0	Hd6214	5	370
8211	8215.5	7412.3	28.1	10	0	0	0	QL-11798	1	1863
8211	8220.5	7472	29.9	20	0	0	0	UB1856	2	627
8201	8205.5	7426.3	35.2	10	0	0	0	QL-11797	1	1862
8191	8195.5	7388.7	27.2	10	0	0	0	QL-11796	1	1861
8191	8200.5	7442	29.9	20	0	0	0	UB1855	2	626
8181	8185.5	7432.6	36.3	10	0	0	0	QL-11795	1	1860
8171	8175.5	7330.5	26.9	10	0	0	0	QL-11794	1	1859
8171	8180.5	7375	29.9	20	0	0	0	UB1854	2	625
8161	8165.5	7299.2	34.8	10	0	0	0	QL-11793	1	1858
8151	8155.5	7288.6	26.1	10	0	0	0	QL-11792	1	1856
8151	8155.5	7257.8	34.4	10	0	0	0	QL-11792	1	1857
8151	8160.5	7328	29.9	20	0	0	0	UB1853	2	624
8141	8145.5	7253.7	25.7	10	0	0	0	QL-11791	1	1854
8141	8145.5	7239.1	33.9	10	0	0	0	QL-11791	1	1855
8136	8137	7421	40.5	3	0	0	0	Hd6228	5	377
8131	8135.5	7284.6	26.3	10	0	0	0	QL-11790	1	1853
8131	8140.5	7283	33.4	20	0	0	0	UB1852	2	623
8121	8125.5	7266.4	20.8	10	0	0	0	QL-11789	1	1851
8121	8125.5	7247.8	27.7	10	0	0	0	QL-11789	1	1852
8112	8113.5	7352	37.8	4	0	0	0	Hd6226	5	358
8111	8120.5	7329	33.4	20	0	0	0	UB1851	2	622
8091	8100.5	7233	33.4	20	0	0	0	UB1850	2	621
8083	8092.5	7260	33.4	20	0	0	0	UB1796	2	620
8083	8084	7355	37.8	3	0	0	0	Hd6215	5	378
8063	8072.5	7326	33.4	20	0	0	0	UB1795	2	619
8043	8052.5	7295	33.4	20	0	0	0	UB1794	2	618
8027	8029.5	7314	41.9	6	0	0	0	Hd6284	5	323
8023	8032.5	7235	33.4	20	0	0	0	UB1793	2	617
8006	8006.5	7152	40.5	2	0	0	0	Hd6371	5	425
8003	8012.5	7228	31.7	20	0	0	0	UB1792	2	616
7988	7992.5	7141.6	27	10	0	0	0	QL-11755	1	1849
7988	7992.5	7140.9	26.3	10	0	0	0	QL-11755	1	1850
