Starting cal age BP	calendar age	 14C age BP	 total 14C uncertainty	 cal yr span	 cal year uncertainty	 wiggle match uncertainty	 varve count uncertainty	Lab ID	 dataset number	 observation number
YR BP	YR BP	YR BP	YR	YR	YR					
17170	17170	14580	180.6	1	20	0	0	mururoa	10	10
15945	15945	13382	147.1	1	35	0	0	urlepa	14	3
15585	15585	13180	159.5	1	25	0	0	mururoa	10	9
15278	15278	13030	114.2	1	27.5	0	0	tasmaloum	14	24
14870	14870	12380	114.2	1	21	0	0	tasmaloum	14	23
14866	14866	12651	141.6	1	51	0	0	tasmaloum	14	22
14661	14673	12510	58.3	25	0	16	63.8	CAMS-56379	15	1
14661	14673	12530	42.4	25	0	16	63.8	CAMS-64033	15	1
14622	14648.5	12560	67.1	54	0	16	63.8	CAMS-60713	15	1
14611	14611	12300	192.1	1	26	0	0	papua	14	33
14608	14621	12370	58.3	27	0	16	62.8	CAMS-57323	15	1
14581	14594	12510	58.3	27	0	16	62.8	CAMS-60712	15	1
14581	14594	12520	58.3	27	0	16	62.8	CAMS-63259	15	1
14573	14573	12370	87.3	1	15	0	0	CAMS 81553	11	29
14565	14565	12400	112.4	1	22	0	0	tasmaloum	14	21
14554	14567	12420	50	27	0	16	61.8	CAMS-56378	15	1
14554	14567	12510	50	27	0	16	61.8	CAMS-64032	15	1
14527	14540	12500	85.4	27	0	16	60.8	CAMS-60711	15	1
14527	14540	12540	50	27	0	16	60.8	CAMS-63258	15	1
14500	14513	12440	58.3	27	0	16	60.8	CAMS-56377	15	1
14500	14513	12490	50	27	0	16	60.8	CAMS-64031	15	1
14473	14486	12390	50	27	0	16	59.8	CAMS-60710	15	1
14473	14486	12530	50	27	0	16	59.8	CAMS-63257	15	1
14446	14459	12320	50	27	0	16	59.8	CAMS-56376	15	1
14446	14459	12530	50	27	0	16	59.8	CAMS-64030	15	1
14417	14432	12510	67.1	31	0	16	58.8	CAMS-60709	15	1
14417	14432	12440	50	31	0	16	58.8	CAMS-63256	15	1
14408	14408	12375	89.4	1	19.5	0	0	CAMS 96030	11	27
14408	14408	12465	89.4	1	19.5	0	0	CAMS 96032	11	28
14396	14396	12370	83.8	1	12.3	0	0	CAMS 99002	11	25
14396	14396	12470	83.8	1	12.3	0	0	CAMS 99011	11	26
14386	14401.5	12440	58.3	32	0	16	57.8	CAMS-55394	15	1
14358	14358	12214	148.5	1	33	0	0	tasmaloum	14	20
14356	14369.5	12380	58.3	28	0	16	57.8	CAMS-60708	15	1
14331	14341.5	12430	50	22	0	16	56.8	CAMS-55393	15	1
14309	14319.5	12430	50	22	0	16	55.8	CAMS-60320	15	1
14295	14295	12435	89.4	1	29	0	0	CAMS 96028	11	24
14275	14297	12460	58.3	45	0	16	54.8	CAMS-55392	15	1
14259	14259	12490	118.5	1	33.5	0	0	tasmaloum	14	19
14251	14251	12375	89.4	1	11.4	0	0	CAMS 96029	11	23
14242	14252.5	12440	58.3	22	0	16	53.8	CAMS-55391	15	1
14235	14235	12240	170	1	50	0	0	barbados	10	3
14221	14221	12246	126.2	1	19.5	0	0	tasmaloum	14	18
14219	14230	12420	50	23	0	16	52.8	CAMS-60318	15	1
14197	14207.5	12380	58.3	22	0	16	52.8	CAMS-55390	15	1
14177	14185.5	12350	50	18	0	16	52.8	CAMS-60317	15	1
14159	14167	12400	67.1	17	0	16	51.8	CAMS-55389	15	1
14142	14150.5	12220	42.4	18	0	16	50.8	CAMS-65449	15	1
14142	14150.5	12330	50	18	0	16	50.8	CAMS-60316	15	1
14125	14132.5	12295	54.1	16	0	16	50.8	CAMS-55388	15	1
14125	14132.5	12300	50	16	0	16	50.8	CAMS-66288	15	1
14108	14116	12170	50	17	0	16	49.8	CAMS-60315	15	1
14108	14116	12420	58.3	17	0	16	49.8	CAMS-63255	15	1
14100	14100	12255	89.4	1	27	0	0	CAMS 96027	11	22
14092	14099	12220	50	15	0	16	49.8	CAMS-55387	15	1
14092	14099	12180	50	15	0	16	49.8	CAMS-65448	15	1
14077	14084.5	12280	50	16	0	16	49.8	CAMS-60314	15	1
14077	14084.5	12170	50	16	0	16	49.8	CAMS-64029	15	1
14062	14068.5	12110	58.3	14	0	16	48.8	CAMS-55386	15	1
14062	14068.5	12060	50	14	0	16	48.8	CAMS-64028	15	1
14059	14059	12396	122.7	1	28.5	0	0	tasmaloum	14	17
14057	14057	12240	110.7	1	17	0	0	tasmaloum	14	16
14047	14054	12060	58.3	15	0	16	48.8	CAMS-61608	15	1
14042	14042	12386	138.3	1	26.5	0	0	tasmaloum	14	15
14033	14039	12070	58.3	13	0	16	47.8	CAMS-57322	15	1
14020	14026.5	12220	67.1	14	0	16	47.8	CAMS-60313	15	1
14020	14026.5	12240	50	14	0	16	47.8	CAMS-63254	15	1
14006	14012	12150	58.3	13	0	16	47.8	CAMS-55385	15	1
13993	13999	12120	50	13	0	16	46.8	CAMS-60312	15	1
13980	13986	12080	58.3	13	0	16	46.8	CAMS-55384	15	1
13967	13973.5	12150	50	14	0	16	46.8	CAMS-60311	15	1
13959	13959	12023	132	1	20.5	0	0	tasmaloum	14	14
13953	13959	12100	58.3	13	0	16	45.8	CAMS-55383	15	1
13940	13946.5	12100	50	14	0	16	45.8	CAMS-60310	15	1
13926	13932.5	12020	50	14	0	16	45.8	CAMS-55382	15	1
13912	13918	12030	50	13	0	16	45.8	CAMS-60309	15	1
13899	13905	12040	58.3	13	0	16	44.8	CAMS-55381	15	1
13886	13892.5	12040	50	14	0	16	44.8	CAMS-60308	15	1
13872	13878	12020	58.3	13	0	16	44.8	CAMS-55380	15	1
13859	13865.5	12080	58.3	14	0	16	43.8	CAMS-60307	15	1
13850	13850	12280	145.6	1	17.5	0	0	tahiti	10	25
13845	13851.5	11990	58.3	14	0	16	43.8	CAMS-57321	15	1
